,URL,Value,id,Extracted_Value,Contains
100,https://subs-production.s3.us-west-2.amazonaws.com/1722624877504,3882,/content/file_100.jpg,,False
102,https://subs-production.s3.us-west-2.amazonaws.com/1722614859162,1701,/content/file_102.jpg,3025705212053212051401510985023,False
103,https://subs-production.s3.us-west-2.amazonaws.com/1722614866538,6111,/content/file_103.jpg,020600106400912088701,False
104,https://subs-production.s3.us-west-2.amazonaws.com/1722614872947,7585,/content/file_104.jpg,07507220523211347386,False
105,https://subs-production.s3.us-west-2.amazonaws.com/1722614880205,4272,/content/file_105.jpg,35047227461120101511544905604230800620532102201614,False
106,https://subs-production.s3.us-west-2.amazonaws.com/1722621978842,195,/content/file_106.jpg,0124056048090480458897,False
107,https://subs-production.s3.us-west-2.amazonaws.com/1722624143069,41809,/content/file_107.jpg,,False
108,https://subs-production.s3.us-west-2.amazonaws.com/1722802266849,685,/content/file_108.jpg,70006501670242045,False
109,https://subs-production.s3.us-west-2.amazonaws.com/1722804972916,143,/content/file_109.jpg,,False
110,https://subs-production.s3.us-west-2.amazonaws.com/1722805577360,5469,/content/file_110.jpg,20130756924121200012232305605062053211313526560,False
111,https://subs-production.s3.us-west-2.amazonaws.com/1722812721807,11904,/content/file_111.jpg,1306,False
115,https://subs-production.s3.us-west-2.amazonaws.com/1722616715947,1643,/content/file_115.jpg,8184105286154838662681213176202144708414524364303200201332099,False
116,https://subs-production.s3.us-west-2.amazonaws.com/1722625584588,2143,/content/file_116.jpg,0377,False
117,https://subs-production.s3.us-west-2.amazonaws.com/1722616758109,2934,/content/file_117.jpg,1482586531525384555675832003200201327292,False
118,https://subs-production.s3.us-west-2.amazonaws.com/1722639073520,774,/content/file_118.jpg,2444,False
120,https://subs-production.s3.us-west-2.amazonaws.com/1722620796470,3506,/content/file_120.jpg,123011715107371924970757800,False
121,https://subs-production.s3.us-west-2.amazonaws.com/1722611870427,2411,/content/file_121.jpg,7002441002605210125005251720291174887,False
122,https://subs-production.s3.us-west-2.amazonaws.com/1722611863327,1019,/content/file_122.jpg,2016109181000000100260521625050525720291166415,False
123,https://subs-production.s3.us-west-2.amazonaws.com/1722611819788,10798,/content/file_123.jpg,174110,False
124,https://subs-production.s3.us-west-2.amazonaws.com/1722611846557,4533,/content/file_124.jpg,1000010100100104555,False
126,https://subs-production.s3.us-west-2.amazonaws.com/1722812526477,5348,/content/file_126.jpg,28083483121125833015604561210462862,False
127,https://subs-production.s3.us-west-2.amazonaws.com/1722612209619,8717,/content/file_127.jpg,,False
128,https://subs-production.s3.us-west-2.amazonaws.com/1722612248751,2770,/content/file_128.jpg,3502741121015035129256023080004201627,False
129,https://subs-production.s3.us-west-2.amazonaws.com/1722612270022,1183,/content/file_129.jpg,,False
130,https://subs-production.s3.us-west-2.amazonaws.com/1722612326647,73,/content/file_130.jpg,87620512160516201001911331231,False
132,https://subs-production.s3.us-west-2.amazonaws.com/1722612309764,2082,/content/file_132.jpg,620532156205211121225612257020191911331,False
134,https://subs-production.s3.us-west-2.amazonaws.com/1722629744855,423,/content/file_134.jpg,4161186,False
135,https://subs-production.s3.us-west-2.amazonaws.com/1722627585043,4137,/content/file_135.jpg,3,False
136,https://subs-production.s3.us-west-2.amazonaws.com/1722659526178,4005,/content/file_136.jpg,602013004405530,False
137,https://subs-production.s3.us-west-2.amazonaws.com/1722606554068,12865,/content/file_137.jpg,04441010102862152250780,False
138,https://subs-production.s3.us-west-2.amazonaws.com/1722619646835,1344,/content/file_138.jpg,11010249127083402010275530205211820542174230,False
141,https://subs-production.s3.us-west-2.amazonaws.com/1722610929226,6993,/content/file_141.jpg,1017110258565048008206321082017,False
142,https://subs-production.s3.us-west-2.amazonaws.com/1722598793309,4012,/content/file_142.jpg,35027112501056023015105355562053211220152800,False
143,https://subs-production.s3.us-west-2.amazonaws.com/1722639940489,25188,/content/file_143.jpg,,False
144,https://subs-production.s3.us-west-2.amazonaws.com/1722615774301,11509,/content/file_144.jpg,20405091100001000100100118226052102250505251440720688336111,False
145,https://subs-production.s3.us-west-2.amazonaws.com/1722638090740,27606,/content/file_145.jpg,0162406,False
146,https://subs-production.s3.us-west-2.amazonaws.com/1722606841234,3298,/content/file_146.jpg,12300398923056050101546205211620532162056212017171122878,False
